Table_Name,Column_Name,Tag
gestionnaires_clients,id,Public
gestionnaires_clients,nom_agence,Restreint
gestionnaires_clients,nom_gestionnaire,Confidential
gestionnaires_clients,telephone,Confidential
gestionnaires_clients,email,Confidential
interets_credits,id,Public
interets_credits,montant,Confidential
interets_credits,date_operation,Restreint
interets_credits,numero_compte,Très Secret
livraisons_cartes,id,Public
livraisons_cartes,numero_carte,Secret
livraisons_cartes,date_livraison,Restreint
livraisons_cartes,adresse_livraison,Très Secret
livraisons_cartes,destinataire,Très Secret
offres_speciales,id,Public
offres_speciales,type_offre,Restreint
offres_speciales,description,Restreint
offres_speciales,date_debut,Restreint
offres_speciales,date_fin,Restreint
operations_change,id,Public
operations_change,devise_achat,Restreint
operations_change,devise_vente,Restreint
operations_change,montant_achat,Confidential
operations_change,montant_vente,Confidential
cautions_bancaires,beneficiaire,Très Secret
reliquat_commissions,id,Public
reliquat_commissions,numero_compte,Très Secret
reliquat_commissions,montant_commission,Confidential
reliquat_commissions,date_operation,Restreint
responsable_comptes,id,Public
responsable_comptes,nom,Très Secret
responsable_comptes,prenom,Très Secret
responsable_comptes,email,Confidential
societes_partenaires,id,Public
societes_partenaires,nom_societe,Restreint
societes_partenaires,secteur_activite,Restreint
societes_partenaires,adresse,Restreint
societes_partenaires,telephone,Restreint
transactions_devises,id,Public
transactions_devises,devise,Restreint
transactions_devises,montant,Confidential
transactions_devises,taux_change,Restreint
transactions_devises,date_transaction,Restreint
transactions_immobilieres,id,Public
transactions_immobilieres,type_transaction,Restreint
transactions_immobilieres,montant_transaction,Secret
transactions_immobilieres,date_transaction,Restreint
transactions_immobilieres,adresse_bien,Très Secret
transactions_interbancaires,id,Public
transactions_interbancaires,banque_emetrice,Restreint
transactions_interbancaires,banque_destinatrice,Restreint
transactions_interbancaires,montant,Secret
transactions_interbancaires,date_transaction,Restreint
Customer,CIN,Secret
Customer,Nom,Secret
Customer,Prenom,Secret
Customer,Genre,Secret
Customer,Adresse,Secret
Customer,Code postal,Secret
Customer,Ville,Secret
Customer,Pays,Secret
Customer,Téléphone,Secret
Customer,Email,Secret
Customer,Date_de_Naissance,Secret
Customer,Numéro de sécurité sociale,Secret
Customer,Telephone,Secret
Customer,Situation matrimoniale,Confidentiel
Customer,Revenu annuel,Confidentiel
Customer,ID_Client,Confidentiel
Customer,flag_MRE,Confidentiel
Customer,flag_contencieux,Confidentiel
Customer,ID_Compte,Confidentiel
Customer,id_agence,Confidentiel
employe,CIN,Secret
employe,Nom,Secret
employe,Prenom,Secret
employe,Genre,Secret
employe,Adresse,Secret
employe,Zipcode,Secret
employe,Ville,Secret
employe,Pays,Secret
employe,Numero_tele,Secret
employe,Email,Secret
employe,Date_naissance,Secret
employe,Date_recrutement,Secret
employe,NumeroSecuriteSocial,Secret
employe,Telephone,Secret
employe,Situation matrimoniale,Confidentiel
employe,Revenu annuel,Confidentiel
employe,EmployeeID,Confidentiel
employe,Poste,Confidentiel
employe,Salaire,Confidentiel
employe,Departement,Confidentiel
Account,ID_Compte,Confidentiel
Account,ID_Client,Confidentiel
Account,Type,Secret
Account,Solde,Secret
Account,Date_Creation,Secret
Account,Taux_Interet,Secret
Account,Frais_Mensuels,Secret
transactions,ID_Compte,Secret
transactions,ID_transaction,Secret
transactions,Date,Secret
transactions,Montant,Secret
transactions,Type,Secret
transactions,Date_Creation,Secret
loan,ID_Prêt,Secret
loan,ID_Client,Secret
loan,Montant_Pret,Secret
loan,Taux_Interet,Secret
loan,Duree_Pret,Secret
loan,Date_Debut,Secret
loan,Date_Fin,Secret
loan,Paiement_Mensuel,Secret
agences,ID_agence,Restreint
agences,nom_agence,Restreint
agences,Addresse,Restreint
agences,Telephone,Restreint
bank_card,ID_Carte,Très Secret
bank_card,ID_Client,Très Secret
bank_card,Numero_carte,Très Secret
bank_card,Date_expiration,Très Secret
bank_card,Code_PIN,Très Secret
bank_card,Type_carte,Secret
produit_data,ID_Produit,Restreint
produit_data,Type_Produit,Restreint
produit_data,Caract_Produit,Restreint
produit_data,Conditions_utilisation,Restreint
Taux_Interets_data,ID_Taux,Restreint
Taux_Interets_data,Type_Produit,Restreint
Taux_Interets_data,Taux_Interet,Restreint
annonces_data,ID_Annonce,Restreint
annonces_data,Title,Restreint
annonces_data,Date,Restreint
annonces_data,Description,Restreint
education_data,ID_Ressource,Restreint
education_data,Title,Restreint
education_data,Description,Restreint
education_data,URL_or_reference,Restreint
community_engagement_data,ID_Evenement,Restreint
community_engagement_data,Nom_Evenement,Restreint
community_engagement_data,Date,Restreint
community_engagement_data,Lieu,Restreint
community_engagement_data,Description,Restreint
faqs_data,ID_Question,Restreint
faqs_data,Question,Restreint
faqs_data,Reponse,Restreint
contact_info_data,ID_Contact,Restreint
contact_info_data,Type_Contact,Restreint
contact_info_data,Coordonnees_Contact,Restreint
surveys_data,ID_Enquete,Restreint
surveys_data,Titre_Enquete,Restreint
surveys_data,Questions,Restreint
atm_data,ATM_ID,Restreint
atm_data,Localisation,Restreint
atm_data,Informations,Restreint
reclamations_clients,id,Public
reclamations_clients,date_reclamation,Restreint
reclamations_clients,description,Restreint
reclamations_clients,statut,Restreint
reclamations_clients,reponse,Restreint
oppositions_cartes,id,Public
oppositions_cartes,numero_carte,Très Secret
oppositions_cartes,date_opposition,Confidential
oppositions_cartes,raison_opposition,Confidential
oppositions_cartes,statut,Confidential
pensions_retraites,id,Public
pensions_retraites,montant_mensuel,Très Secret
pensions_retraites,date_debut,Confidential
pensions_retraites,date_fin,Confidential
partenariats_commerciaux,id,Public
partenariats_commerciaux,nom_partenaire,Public
partenariats_commerciaux,domaine_activite,Public
partenariats_commerciaux,benefices,Public
partenariats_commerciaux,date_debut,Public
recommandations_placements,id,Public
recommandations_placements,produit_recommande,Confidential
recommandations_placements,raison_recommandation,Très Secret
recommandations_placements,date_recommandation,Très Secret
recommandations_placements,client_concerne,Très Secret
produits_bancaires,id,Public
produits_bancaires,nom_produit,Public
produits_bancaires,taux_interet,Public
produits_bancaires,montant_minimum,Public
produits_bancaires,duree_plafond,Public
