ID_Taux,Type_Produit,Taux_Interet
6cf49ab2-81be-4e71-9f2e-b3618d1dc930,cri,5.081644402393916
2ea87a32-1609-449e-a4bc-9e47bb0c6474,avant,3.8082455121957377
5594b749-c48c-4d02-8159-05bb682fc5e7,droite,3.2413660616810573
81208c60-9131-4ac3-a9fe-0fc659548b44,exiger,3.041874406243811
6fccb141-6317-4ac9-ac4a-f04e396c75e3,verser,3.523856521309441
906591fb-ec05-4ce4-a51b-24942f96dbe6,bon,7.461177877311531
beaa3508-1f58-40ec-b957-87cfa3b70ae1,famille,7.392086802490275
6de04906-5782-4ecb-91b8-9ef01d75c96f,doux,3.4229527276757
09ab5bb5-ecb5-4af7-95ed-a9821b611d30,papa,4.454809290767834
034d0b33-7059-4a18-8694-df2c8ce2f7b7,céder,1.2260418863306906
ea0b3411-c113-4dd9-b4ae-374b36c56373,intéresser,2.300440349999065
25c02069-89b3-44b0-83fd-80f3c6d39d1a,pour,7.946642303371144
68c8b4d4-823e-4706-9dec-df1c60854240,pas,8.756385745864112
a7aaa483-1753-4859-959b-8b15d86e96b1,monde,2.1501913639695904
e7766266-ee8d-4f3e-ab0b-9e0bda550f74,accompagner,8.317986607529303
23c84f4e-22b7-4809-a69b-108078cd437a,français,7.45042965718528
3f1d9d38-0fee-454f-a8d4-e9f54b7592e6,douze,7.82575603902407
07e87c6e-135b-4286-96a6-1055f0ac93a1,achever,5.318486006791596
9cdcf16a-4440-40ac-a8df-9eacb0d1addb,alors,8.839152673584572
a5920036-8265-4ead-acf6-cd00c883c7a5,en,7.086773712642393
9d3c738e-c43c-4fe5-b4a8-d9ad6f14aa6d,là,5.933191896395118
f49232d6-61b6-48a3-94e0-f6ab63bd9f48,partie,8.266962187732092
e10d6172-deb5-4a34-818b-329b2ee73f51,anglais,5.965357409834348
0346b59e-e676-4c72-a7ab-df4e57b3293f,palais,1.3258627461715897
5dc2b6dc-7e1d-4b65-8115-b53a920b321c,devant,7.794678158006023
f845bbb6-2214-4bbd-a164-78b7c06e8add,exposer,4.057398534015244
c1b199b7-1664-47a4-a8ac-a628909c32b3,mauvais,5.687103475168826
09c35653-3166-46c0-83f1-988617aee083,céder,6.840875894614207
92a6c826-e84e-4f6a-879e-ef1e98501958,discuter,7.7900549106429375
c9b9b59f-a683-4d97-a0f2-305a01a98f34,que,2.419716938903276
f3519459-a4dc-4966-9563-b72f37f42f07,naturel,4.5683563426354805
84d9cf85-0b90-4b6a-8a7c-31cc16be653f,rire,4.184050415948652
02114c4f-c3ab-4392-b21b-6a4df1aca6bf,tenter,2.3501988311019293
d4a4c4ee-750c-4234-ad57-967d4b568eef,éloigner,5.453742894940325
2613d9b1-600c-4f6a-a1e9-98e17a188006,mort,8.112725519335756
2a940bf5-0067-46d4-a844-1fe033cc61c0,tel,2.4356142906763596
612901e0-bd39-438c-812f-27c273eed78e,silence,5.546896941729304
078e455d-ab1a-45d7-a1b4-95e338833da3,rose,9.245665006902321
41c5da01-5257-482c-9e9f-4b12a729a10c,rouler,5.5590299364698605
607f259d-b950-4ab2-849c-32f6beeb3281,accomplir,7.900038221111899
d4331e32-e030-4ddd-b547-5e8a1b36bd84,voilà,5.692900920053888
fe5eaa44-5216-4a65-aeae-fe4c02c7814b,convenir,9.659487317098922
6130eaea-9bfd-45bd-b40d-e3d829892d92,salle,7.954326290260008
056d7073-cd97-4d0a-900a-888484ac12d3,vaste,9.614120026885747
ec8f6713-42f2-499c-9c67-34c1c92af34d,soutenir,6.295938143097605
c509c286-c482-4b7c-9ae1-df02adc68ce4,saisir,2.1886615309935493
685cd364-3c72-4f15-af40-4d523bd538a0,parent,7.768416586019534
05d88819-187f-4982-8ca3-ef25a14afdd1,ce,9.552540692826154
b7158372-b575-47d3-b4bd-e78a076b9dea,embrasser,9.82267044884982
7a3e43a6-5d78-4a4c-ad47-88f8c83af735,prétendre,5.008034011230041
ce08ff48-f739-46ab-9c41-20a67f3cdd6f,est,8.228822529527411
0eb31548-04fd-41a3-af75-ca84bf232043,intéresser,5.035285700969228
110d90f1-33a7-4678-aeef-b126feaf9bf5,joue,1.7372226273893188
b2e6ba05-8684-4250-a9b4-257fd4e21272,amour,1.7974641739048733
5476b786-fe66-4b2a-9f9d-cdd51ea0303d,sommet,3.1965874359279702
894cd737-5a85-454e-aeb1-1424dc76845a,lorsque,5.387034688677078
bb169df3-712a-446c-a2e4-5d123920c59c,répéter,4.129485946813409
00788b78-54cc-4c2d-945e-21ec70ab9026,souffrance,4.259243432889482
2b53c539-4fa3-4e74-84e1-e26d6ad04c90,cerveau,9.221039180330868
fef864c9-3b96-4872-a747-7db630a3a36f,doute,3.6763564631284096
0bd45742-5d7a-41c3-9dac-42069c28e219,ci,1.9939276797939183
cf5244a8-078f-4f26-ba14-6bb7276581eb,combien,4.144024176022439
c29b4dd1-eaca-445f-821f-738eae50bb95,cependant,9.410478912174032
1808b44f-4cea-4f68-8335-1e02d9a7b5d5,part,5.282063060405213
